[LOG] System::create                           : Header version = 1.10.09. Current version = 1.10.09.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11009 (97915), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000000006DA02938 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Thread::initThread                       : Init FMOD profiler thread (recv). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] Thread::initThread                       : Init FMOD profiler thread (send). Priority: 0, Stack Size: 131072, Semaphore: No, Sleep Time: 0, Looping: No.
[LOG] LiveUpdate::clientConnected              : client = 000000004C28CB18
[LOG] LiveUpdate::readPacket                   : Accepting init message for client 000000004C28CB18
[LOG] LiveUpdate::transitionToConnected        : 
[LOG] Manager::sendConnectTimeHash             : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::sendBankHash                 : 
[LOG] LiveUpdate::acceptInitPacket             : Client 000000004C28CB18 connected, entering connected state
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_0.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_0.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_1.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_1.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_2.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_2.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_3.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_3.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_4.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_4.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_5.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_5.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_6.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_6.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_7.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_7.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_8.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_8.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_9.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_9.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_10.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_10.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_11.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_11.bank'
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/lmwel/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-N9Lgax/hotswap_12.bank
